Species.scientific.name,Species.common.name,SeaWEED.ID,Source,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Yield_per_HA,Grow_out_period_days,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes,Production.volume.2018,USD.per.tonne,Taxonomy,Diet,ISSCAAP_Group,EcologyRefNo,HabitatsRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,FoodTroph,FoodSeTroph,Species..Family.,ASFIS,Species..Main.grouping.,Species..Order.,Environment..Environment.,HighLevelISSCAAP
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,169,McGrath-2015-a,,1 tonne live weight,Solid-walled aquaculture system,Experimental,"Actual production system of emerging SWAS aquaculture technology containing chinook salmon, data collection was truncated due to severe storm that destroyed infrastructure",Canada,British Columbia,2011-2012,"1 tank, 75 tonnes",,,,,,1.5,Compound,0.0,20,80,0,,7272.0,15.0,,,,,Rob,43902,"Experimental, consider removing",,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Freshwater,diadromous
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,169,McGrath-2015-a,,1 tonne live weight,Solid-walled aquaculture system,Experimental,"Actual production system of emerging SWAS aquaculture technology containing chinook salmon, data collection was truncated due to severe storm that destroyed infrastructure",Canada,British Columbia,2011-2012,"1 tank, 75 tonnes",,,,,,1.5,Compound,0.0,20,80,0,,7272.0,15.0,,,,,Rob,43902,"Experimental, consider removing",,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Marine,diadromous
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,,SFW (company data),,,Freshwater net pen (?),,,New Zealand,,2013.0,,,,,,,1.4,Assumed compound,,26,59,15,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Freshwater,diadromous
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,,SFW (company data),,,Freshwater net pen (?),,,New Zealand,,2013.0,,,,,,,1.4,Assumed compound,,26,59,15,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Marine,diadromous
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,,SFW (company data),,,Net pen,,,New Zealand,,2013.0,,,,,,,1.75,Assumed compound,,17.4,35.2,42.8,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Freshwater,diadromous
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,,SFW (company data),,,Net pen,,,New Zealand,,2013.0,,,,,,,1.75,Assumed compound,,17.4,35.2,42.8,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,23,1998,52559,4.4,0.66,4.44,0.78,3.83,0.67,SALMONIDAE,1230100907,PISCES,SALMONIFORMES,Marine,diadromous
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,158,Yacout-2016-a,,1 tonne live weight,Semi-intensive pond,Commercial,Tilapia harvested from semi-intensive pond system,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,27.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW,,,Ponds,,,China,,2011.0,,,,,,,1.3,Assumed compound,,4,87,6,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Raceway,,,Peru,,2014.0,,,,,,,1.8,Assumed compound,,10.5,89,0,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Ponds,,,Colombia,,2015.0,,,,,,,1.6,Assumed compound,,5.97,81.2,12.3,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,212,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,1.6,Compound,26.0,44.5,12.5,17,Hand fed,56.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,212,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,1.6,Compound,26.0,44.5,12.5,17,Hand fed,56.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,57,Pelletier-2010-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,2730.0,1.0,,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,153,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Tilapia produced in two-net aquaculture system (along with common carp) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 1,640kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,157,Yacout-2016-a,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond system.,Egypt,Behera governorate,2010-2011,2 farms,,,,,,1.4,Compound,31.0,34,36,0,,,101.0,,,,,Rob,43902,Double check energy inputs,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
