Input type,Input,Country/Region,Impact category,Units,Allocation,Value,Source,Product information
Crop,Wheat,Canada,Marine eutrophication,kg N-eq / kg,Mass,0.00318,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Mass"
Crop,Wheat,Russia,Marine eutrophication,kg N-eq / kg,Mass,0.0023,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Mass"
Crop,Wheat,United States,Marine eutrophication,kg N-eq / kg,Mass,0.00397,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Mass"
Crop,Wheat,Canada,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00318,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Energy"
Crop,Wheat,Russia,Marine eutrophication,kg N-eq / kg,Gross energy content,0.0023,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Energy"
Crop,Wheat,United States,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00397,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Energy"
Crop,Wheat,Canada,Marine eutrophication,kg N-eq / kg,Economic,0.00318,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Economic"
Crop,Wheat,Russia,Marine eutrophication,kg N-eq / kg,Economic,0.0023,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Economic"
Crop,Wheat,United States,Marine eutrophication,kg N-eq / kg,Economic,0.00397,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Economic"
Crop,Wheat,Canada,Water consumption,m3 / kg,Mass,0.00473,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Mass"
Crop,Wheat,Russia,Water consumption,m3 / kg,Mass,0.0305,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Mass"
Crop,Wheat,United States,Water consumption,m3 / kg,Mass,0.0919,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Mass"
Crop,Wheat,Canada,Water consumption,m3 / kg,Gross energy content,0.00473,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Energy"
Crop,Wheat,Russia,Water consumption,m3 / kg,Gross energy content,0.03,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Energy"
Crop,Wheat,United States,Water consumption,m3 / kg,Gross energy content,0.0919,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Energy"
Crop,Wheat,Canada,Water consumption,m3 / kg,Economic,0.00473,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Economic"
Crop,Wheat,Russia,Water consumption,m3 / kg,Economic,0.0305,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Economic"
Crop,Wheat,United States,Water consumption,m3 / kg,Economic,0.0919,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Economic"
Crop,Wheat bran,Germany,Freshwater eutrophication,kg P-eq / kg,Mass,0.00013,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Mass"
Crop,Wheat bran,Germany,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00012,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Energy"
Crop,Wheat bran,Germany,Freshwater eutrophication,kg P-eq / kg,Economic,5.75E-05,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Economic"
Crop,Wheat bran,Germany,Global warming potential,kg CO2-eq / kg,Mass,0.316,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Mass"
Crop,Wheat bran,Germany,Global warming potential,kg CO2-eq / kg,Gross energy content,0.411,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Energy"
Crop,Wheat bran,Germany,Global warming potential,kg CO2-eq / kg,Economic,0.144,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Economic"
Crop,Wheat bran,Germany,Land use,m2a / kg,Mass,1.35,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat bran, from wet milling, at processing/DE Mass"
Crop,Wheat bran,Germany,Land use,m2a / kg,Gross energy content,1.29,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat bran, from wet milling, at processing/DE Energy"
Crop,Wheat bran,Germany,Land use,m2a / kg,Economic,0.615,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat bran, from wet milling, at processing/DE Economic"
Crop,Wheat bran,Germany,Marine eutrophication,kg N-eq / kg,Mass,0.00311,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Mass"
Crop,Wheat bran,Germany,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00299,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Energy"
Crop,Wheat bran,Germany,Marine eutrophication,kg N-eq / kg,Economic,0.00142,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Economic"
Crop,Wheat bran,Germany,Water consumption,m3 / kg,Mass,0.0286,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Mass"
Crop,Wheat bran,Germany,Water consumption,m3 / kg,Gross energy content,0.031,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Energy"
Crop,Wheat bran,Germany,Water consumption,m3 / kg,Economic,0.013,"Agri-footprint 5, ReCiPe characterization","Wheat bran, from wet milling, at processing/DE Economic"
Fishery,"Fish meal, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Mass,1.31E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Gross energy content,9.43E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Economic,9.43E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Mass,1.57,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Gross energy content,1.13,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Economic,1.13,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Land use,m2a / kg,Mass,7.32E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Land use,m2a / kg,Gross energy content,5.29E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Land use,m2a / kg,Economic,5.29E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Mass,4.47E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Gross energy content,3.23E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Economic,3.23E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Water consumption,m3 / kg,Mass,1.90E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Water consumption,m3 / kg,Gross energy content,1.35E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Atlantic herring",Europe,Water consumption,m3 / kg,Economic,1.35E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Freshwater eutrophication,kg P-eq / kg,Mass,2.19E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Freshwater eutrophication,kg P-eq / kg,Gross energy content,2.00E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Freshwater eutrophication,kg P-eq / kg,Economic,2.00E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Global warming potential,kg CO2-eq / kg,Mass,2.63E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Global warming potential,kg CO2-eq / kg,Gross energy content,2.40E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Global warming potential,kg CO2-eq / kg,Economic,2.40E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Land use,m2a / kg,Mass,1.20E-04,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Land use,m2a / kg,Gross energy content,1.10E-04,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Land use,m2a / kg,Economic,1.10E-04,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Marine eutrophication,kg N-eq / kg,Mass,7.08E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Marine eutrophication,kg N-eq / kg,Gross energy content,6.47E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Marine eutrophication,kg N-eq / kg,Economic,6.47E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Water consumption,m3 / kg,Mass,3.16E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Water consumption,m3 / kg,Gross energy content,2.88E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Blue whiting",Europe,Water consumption,m3 / kg,Economic,2.88E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Mass,1.11E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Gross energy content,8.26E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Economic,8.26E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Mass,1.33E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Gross energy content,9.89E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Economic,9.89E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Land use,m2a / kg,Mass,6.40E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Land use,m2a / kg,Gross energy content,4.77E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Land use,m2a / kg,Economic,4.77E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Mass,4.54E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Gross energy content,3.38E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Economic,3.38E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Water consumption,m3 / kg,Mass,1.54E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Water consumption,m3 / kg,Gross energy content,1.14E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Capelin",Iceland,Water consumption,m3 / kg,Economic,1.14E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Mass,5.80E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,3.95E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Economic,3.95E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Mass,8.10E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Gross energy content,0.552,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Economic,0.552,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Land use,m2a / kg,Mass,3.46E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Land use,m2a / kg,Gross energy content,2.36E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Land use,m2a / kg,Economic,2.36E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Mass,2.81E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Gross energy content,1.92E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Economic,1.92E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Water consumption,m3 / kg,Mass,7.94E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Water consumption,m3 / kg,Gross energy content,5.41E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Gulf menhaden",United States,Water consumption,m3 / kg,Economic,5.41E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Mass,5.85E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Gross energy content,4.93E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Economic,4.93E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Mass,7.80E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Gross energy content,0.657,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Economic,0.657,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Land use,m2a / kg,Mass,3.58E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Land use,m2a / kg,Gross energy content,3.02E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Land use,m2a / kg,Economic,3.02E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Mass,3.40E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Gross energy content,2.87E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Economic,2.87E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Water consumption,m3 / kg,Mass,7.76E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Water consumption,m3 / kg,Gross energy content,6.54E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish meal, Peruvian anchovy",Peru,Water consumption,m3 / kg,Economic,6.54E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Mass,1.31E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Gross energy content,1.97E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Freshwater eutrophication,kg P-eq / kg,Economic,1.97E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Mass,1.57,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Gross energy content,2.36E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Global warming potential,kg CO2-eq / kg,Economic,2.36E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Land use,m2a / kg,Mass,7.32E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Land use,m2a / kg,Gross energy content,1.10E-04,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Land use,m2a / kg,Economic,1.10E-04,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Mass,4.47E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Gross energy content,6.73E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Marine eutrophication,kg N-eq / kg,Economic,6.73E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Water consumption,m3 / kg,Mass,1.90E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Water consumption,m3 / kg,Gross energy content,2.80E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Atlantic herring",Europe,Water consumption,m3 / kg,Economic,2.80E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Mass,1.11E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Gross energy content,1.72E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Freshwater eutrophication,kg P-eq / kg,Economic,1.72E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Mass,1.33E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Gross energy content,2.05E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Global warming potential,kg CO2-eq / kg,Economic,2.05E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Land use,m2a / kg,Mass,6.40E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Land use,m2a / kg,Gross energy content,9.89E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Land use,m2a / kg,Economic,9.89E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Mass,4.54E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Gross energy content,7.02E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Marine eutrophication,kg N-eq / kg,Economic,7.02E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Water consumption,m3 / kg,Mass,1.54E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Water consumption,m3 / kg,Gross energy content,2.37E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Capelin",Iceland,Water consumption,m3 / kg,Economic,2.37E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Mass,5.80E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,8.22E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Freshwater eutrophication,kg P-eq / kg,Economic,8.22E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Mass,8.10E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Gross energy content,1.15,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Global warming potential,kg CO2-eq / kg,Economic,1.15,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Land use,m2a / kg,Mass,3.46E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Land use,m2a / kg,Gross energy content,4.90E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Land use,m2a / kg,Economic,4.90E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Mass,2.81E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Gross energy content,3.99E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Marine eutrophication,kg N-eq / kg,Economic,3.99E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Water consumption,m3 / kg,Mass,7.94E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Water consumption,m3 / kg,Gross energy content,1.13E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Gulf menhaden",United States,Water consumption,m3 / kg,Economic,1.13E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Mass,5.85E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Gross energy content,1.02E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Freshwater eutrophication,kg P-eq / kg,Economic,1.02E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Mass,7.80E-01,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Gross energy content,1.36E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Global warming potential,kg CO2-eq / kg,Economic,1.36E+00,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Land use,m2a / kg,Mass,3.58E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Land use,m2a / kg,Gross energy content,6.26E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Land use,m2a / kg,Economic,6.26E-05,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Mass,3.40E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Gross energy content,5.96E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Marine eutrophication,kg N-eq / kg,Economic,5.96E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Water consumption,m3 / kg,Mass,7.76E-03,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Water consumption,m3 / kg,Gross energy content,1.36E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery,"Fish oil, Peruvian anchovy",Peru,Water consumption,m3 / kg,Economic,1.36E-02,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery by-product,"Fish by-product meal, Alaska pollock",United States,Freshwater eutrophication,kg P-eq / kg,Mass,1.25E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery by-product,"Fish by-product meal, Alaska pollock",United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,1.16E-06,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
Fishery by-product,"Fish by-product meal, Alaska pollock",United States,Freshwater eutrophication,kg P-eq / kg,Economic,5.91E-07,"FEUD, Cashion et al., Agri-footprint",Rob's modeling
